104.17.165.33:8443#Newark 72.0MB/s
104.24.0.2:8443#Newark 70.0MB/s
172.64.32.7:8443#Toronto 60.3MB/s
8.39.125.22:8443#San Francisco 58.9MB/s
104.27.0.3:8443#Newark 58.6MB/s
108.162.192.7:8443#Toronto 56.9MB/s
104.18.175.5:8443#New York 56.7MB/s
104.26.0.5:8443#Newark 56.5MB/s
104.19.45.145:8443#Newark 56.3MB/s
104.27.0.6:8443#Newark 55.4MB/s
172.64.153.154:8443#Toronto 55.4MB/s
108.162.198.9:8443#Dallas 55.2MB/s
108.162.192.3:8443#Toronto 54.9MB/s
104.16.105.166:8443#Newark 54.8MB/s
108.162.198.18:8443#Dallas 54.6MB/s
108.162.192.5:8443#Toronto 54.5MB/s
172.64.32.6:8443#Toronto 54.4MB/s
104.16.144.247:8443#Newark 54.3MB/s
104.18.166.129:8443#Newark 53.9MB/s
104.16.248.183:8443#Newark 53.8MB/s
104.20.0.7:8443#Newark 53.7MB/s
104.19.220.22:8443#New York 53.6MB/s
108.162.198.7:8443#Dallas 53.4MB/s
108.162.198.11:8443#Dallas 53.3MB/s
104.16.49.25:8443#Newark 53.2MB/s
172.64.32.1:8443#Toronto 53.2MB/s
8.39.125.30:8443#San Francisco 53.0MB/s
104.18.11.67:8443#Newark 53.0MB/s
104.20.0.8:8443#Newark 52.9MB/s
188.114.96.9:8443#Toronto 52.8MB/s
108.162.198.17:8443#Dallas 52.5MB/s
104.16.152.102:8443#Newark 52.4MB/s
104.16.10.151:8443#Newark 52.3MB/s
104.20.0.4:8443#Newark 51.9MB/s
104.21.0.7:8443#Newark 51.9MB/s
108.162.192.6:8443#Toronto 51.8MB/s
108.162.198.2:8443#Dallas 51.8MB/s
108.162.198.1:8443#Dallas 51.7MB/s
108.162.198.3:8443#Dallas 51.7MB/s
162.159.42.141:8443#Toronto 51.7MB/s
104.19.52.72:8443#Newark 51.6MB/s
104.24.0.9:8443#Newark 51.6MB/s
172.64.32.5:8443#Toronto 51.6MB/s
108.162.198.6:8443#Dallas 51.4MB/s
188.114.96.8:8443#Toronto 51.4MB/s
108.162.198.5:8443#Dallas 51.3MB/s
104.25.0.9:8443#Newark 51.2MB/s
108.162.192.9:8443#Toronto 51.2MB/s
172.64.32.8:8443#Toronto 51.2MB/s
162.159.0.9:8443#Toronto 51.1MB/s
